Iteration,PayloadSize,Latency(s),CPU(%),Memory(MB)
1,64,0.6374,17.89,6971.44
2,64,0.7034,13.10,6965.72
3,64,1.2450,41.43,6983.19
4,64,0.8430,31.25,6891.64
5,64,0.5376,20.73,6974.84
6,64,0.5992,21.87,6912.19
7,64,0.9569,24.10,6897.34
8,64,0.9518,23.64,6893.97
9,64,0.5447,10.90,6910.58
10,64,0.5276,13.13,6904.98
11,64,0.6428,20.50,6902.98
12,64,0.6783,18.59,6908.09
13,64,0.4668,8.47,6915.38
14,64,0.6010,15.50,6902.27
15,64,0.7125,18.32,6906.97
16,64,0.4683,20.61,6903.25
17,64,0.8058,18.90,6895.36
18,64,0.6315,7.33,6902.56
19,64,0.3905,0.00,6904.62
20,64,0.3269,14.83,6886.33
21,64,0.9272,19.42,6898.36
22,64,0.9792,18.82,6977.09
23,64,0.8391,19.40,6910.88
24,64,0.5456,11.31,6919.31
25,64,0.4058,12.47,6905.88
26,64,0.9638,28.68,6903.22
27,64,0.5253,23.62,6965.94
28,64,0.3997,19.87,6888.20
29,64,0.4437,19.47,6965.48
30,64,0.5985,35.49,7011.73
31,64,0.4911,27.44,6901.03
32,64,0.6917,49.69,6852.53
33,64,0.4379,18.02,6865.12
34,64,0.5562,47.19,6830.55
35,64,0.4607,38.65,6892.48
36,64,0.3892,29.04,6892.81
37,64,0.3680,28.95,6948.25
38,64,0.7093,51.32,6946.50
39,64,0.4442,20.55,6915.89
40,64,0.9208,29.32,6924.70
41,64,0.8092,14.81,6897.08
42,64,0.3705,53.29,6872.42
43,64,0.6368,44.32,6850.09
44,64,0.4206,28.34,6848.83
45,64,0.6776,25.95,6862.28
46,64,0.4924,0.00,6860.11
47,64,0.4244,29.02,6901.81
48,64,0.5417,24.69,6870.61
49,64,0.3214,0.00,6861.20
50,64,0.6776,26.89,6866.86
51,128,0.4907,18.71,6879.48
52,128,0.4604,24.92,6919.08
53,128,0.7638,55.88,6888.05
54,128,0.5323,94.94,6867.23
55,128,0.4214,60.87,6877.81
56,128,0.6543,18.49,6864.55
57,128,0.4794,27.30,6867.62
58,128,0.7821,16.88,6849.53
59,128,0.5643,35.65,6903.23
60,128,1.6400,48.86,7062.83
61,128,0.5106,17.31,6819.98
62,128,0.4818,32.44,6773.84
63,128,0.6453,42.31,6618.42
64,128,0.3800,27.07,6646.23
65,128,0.5104,30.35,6718.92
66,128,0.9417,21.75,6784.27
67,128,0.5298,29.28,6761.30
68,128,0.6486,9.64,6885.25
69,128,0.9953,16.05,6824.28
70,128,0.8081,37.80,6641.80
71,128,0.6825,52.32,6624.06
72,128,1.8472,20.00,6977.30
73,128,0.9834,33.31,7023.05
74,128,0.7837,79.13,6852.50
75,128,0.5185,71.51,6923.20
76,128,0.7572,16.05,6904.00
77,128,0.5240,31.25,6928.25
78,128,0.6605,26.10,6892.56
79,128,0.7477,9.15,6857.11
80,128,0.5902,23.78,6827.92
81,128,0.5075,14.19,6807.05
82,128,0.6678,28.64,6782.64
83,128,1.0461,24.69,6770.50
84,128,0.2932,40.33,6999.66
85,128,0.4370,23.12,6956.48
86,128,0.4984,33.27,6952.95
87,128,0.4280,31.45,6923.89
88,128,0.6929,25.51,6900.62
89,128,0.6692,23.41,6907.59
90,128,0.5649,28.31,6890.28
91,128,0.4675,25.02,6881.16
92,128,0.7020,28.51,6999.08
93,128,0.4399,36.38,6969.55
94,128,0.7710,31.15,6973.61
95,128,1.3928,58.90,6908.69
96,128,0.3922,10.76,7004.19
97,128,0.5889,37.19,6981.80
98,128,0.6078,38.16,6919.98
99,128,0.5062,82.50,6985.33
100,128,0.7907,26.38,6950.28
101,256,0.6432,28.48,6886.55
102,256,0.7470,11.18,6962.34
103,256,0.5778,26.22,6956.44
104,256,0.7208,40.00,6999.22
105,256,0.3881,31.68,6995.08
106,256,0.5078,57.32,6941.33
107,256,0.5478,27.36,6916.08
108,256,0.7017,18.56,6969.39
109,256,1.4010,26.29,7012.27
110,256,0.9405,21.11,6916.31
111,256,0.5970,16.25,6871.42
112,256,0.9384,28.43,6885.61
113,256,0.4477,21.31,6862.72
114,256,0.5016,24.66,6887.97
115,256,0.2591,15.24,6834.30
116,256,0.4757,9.38,6840.55
117,256,0.9526,24.20,6819.16
118,256,1.0991,26.38,6826.84
119,256,0.9891,12.66,6929.33
120,256,0.6153,37.57,6940.42
121,256,0.4320,32.75,6929.05
122,256,0.4550,16.54,6914.45
